# no  word                  pos           zh                                                                                                                            example                                                    added       right  wrong  last_test   tags            sense
1     rain                  n./v.         雨、下雨                                                                                                                      It will rain today.                                        2026-09-10  15     0      2026-09-17  天氣            多義
2     busy                  adj.          忙碌的                                                                                                                        I am busy today.                                           2026-09-10  13     0      2026-09-17  基礎字          多義
3     cat                   n.            貓                                                                                                                            The cat is sleeping.                                       2026-09-10  14     0      2026-09-17  動物            單義
4     big                   adj.          大的                                                                                                                          That is a big dog.                                         2026-09-10  2      1      2026-09-14  -               多義
5     eat                   v.            吃                                                                                                                            I eat rice every day.                                      2026-09-10  14     0      2026-09-17  超基礎字        多義
6     red                   adj./n.       紅色的、紅色                                                                                                                  I have a red bag.                                          2026-09-10  4      0      2026-09-17  顏色            多義
7     open                  v./adj.       打開、開著的                                                                                                                  Please open the door.                                      2026-09-10  2      1      2026-09-14  -               極多義
8     cold                  adj.          冷的                                                                                                                          The water is cold.                                         2026-09-10  4      0      2026-09-17  天氣            極多義
9     book                  n.            書                                                                                                                            I read a book.                                             2026-09-10  7      0      2026-09-17  居家            多義
10    run                   v.            跑                                                                                                                            I run every day.                                           2026-09-10  1      0      2026-09-10  -               極多義
11    happy                 adj.          開心的                                                                                                                        She is happy today.                                        2026-09-10  6      2      2026-09-17  超基礎字        多義
12    name                  n.            名字                                                                                                                          What is your name?                                         2026-09-10  4      0      2026-09-17  基礎字          多義
13    water                 n.            水                                                                                                                            I drink water every day.                                   2026-09-10  1      1      2026-09-10  食物            多義
14    small                 adj.          小的                                                                                                                          It is a small box.                                         2026-09-10  7      2      2026-09-15  -               多義
15    door                  n.            門                                                                                                                            Close the door, please.                                    2026-09-10  4      0      2026-09-17  居家            單義
16    friend                n.            朋友                                                                                                                          He is my friend.                                           2026-09-10  14     0      2026-09-17  基礎字          多義
17    walk                  v./n.         走、走路                                                                                                                      I walk to school.                                          2026-09-10  3      1      2026-09-17  基礎字          多義
18    new                   adj.          新的                                                                                                                          I have a new phone.                                        2026-09-10  5      0      2026-09-17  基礎字          單義
19    money                 n.            錢                                                                                                                            I need some money.                                         2026-09-10  3      1      2026-09-17  -               單義
20    morning               n.            早上                                                                                                                          Good morning!                                              2026-09-10  4      0      2026-09-17  -               單義
21    fast                  adj./adv.     快的、快速地                                                                                                                  He runs fast.                                              2026-09-10  1      0      2026-09-10  -               多義
22    hungry                adj.          餓的                                                                                                                          I am hungry now.                                           2026-09-10  1      0      2026-09-10  -               多義
23    give                  v.            給                                                                                                                            Give me your hand.                                         2026-09-10  5      1      2026-09-17  基礎字          極多義
24    listen                v.            聽                                                                                                                            I listen to music.                                         2026-09-10  2      1      2026-09-11  -               單義
25    buy                   v.            買                                                                                                                            I buy a new bag.                                           2026-09-10  4      0      2026-09-17  基礎字          多義
26    tired                 adj.          累的                                                                                                                          I am tired today.                                          2026-09-10  2      1      2026-09-15  -               多義
27    clean                 adj./v.       乾淨的、打掃                                                                                                                  The room is clean.                                         2026-09-10  2      1      2026-09-15  -               多義
28    wait                  v.            等                                                                                                                            Please wait here.                                          2026-09-10  6      0      2026-09-17  基礎字          多義
29    answer                n./v.         答案、回答                                                                                                                    I know the answer.                                         2026-09-10  6      0      2026-09-17  基礎字          多義
30    remember              v.            記得                                                                                                                          I remember your name.                                      2026-09-10  5      2      2026-09-17  基礎字          單義
